created_at,user_id,article_id,key,value
2020-03-19T08:56:16.194Z,3624,61353114,included,1
2020-03-19T08:56:38.711Z,3624,61353115,included,1
2020-03-19T09:03:39.515Z,3624,61353116,included,1
2020-03-19T09:03:55.360Z,3624,61353117,included,1
2020-03-19T09:04:01.125Z,3624,61353118,included,1
2020-03-19T09:04:10.126Z,3624,61353119,included,1
2020-03-19T09:04:36.456Z,3624,61353120,included,0
2020-03-19T09:04:47.987Z,3624,61353121,included,1
2020-03-19T09:05:22.942Z,3624,61353122,included,0
2020-03-19T09:05:55.147Z,3624,61353123,included,0
2020-03-19T09:06:02.539Z,3624,61353124,included,1
2020-03-19T09:06:41.494Z,3624,61353125,included,1
2020-03-19T09:07:06.417Z,3624,61353126,included,0
2020-03-19T09:07:33.778Z,3624,61353127,included,1
2020-03-19T09:07:38.263Z,3624,61353128,included,1
2020-03-19T09:07:41.247Z,3624,61353129,included,1
2020-03-19T09:07:51.654Z,3624,61353130,included,1
2020-03-19T09:08:19.765Z,3624,61353131,included,-1
2020-03-19T09:08:29.500Z,3624,61353132,included,1
2020-03-19T09:08:39.547Z,3624,61353133,included,1
2020-03-19T09:08:50.485Z,3624,61353134,included,1
2020-03-19T09:09:56.489Z,3624,61353135,included,0
2020-03-19T09:10:04.740Z,3624,61353136,included,1
2020-03-19T09:10:18.787Z,3624,61353137,included,1
2020-03-19T09:10:29.866Z,3624,61353138,included,1
2020-03-19T09:11:10.556Z,3624,61353139,included,0
2020-03-19T09:12:21.310Z,3624,61353140,included,1
2020-03-19T09:12:33.857Z,3624,61353141,included,1
2020-03-19T09:12:42.452Z,3624,61353142,included,1
2020-03-19T09:12:49.968Z,3624,61353143,included,1
2020-03-19T09:12:55.343Z,3624,61353144,included,1
2020-03-19T09:12:59.203Z,3624,61353145,included,1
2020-03-19T09:13:39.205Z,3624,61353146,included,0
2020-03-19T09:13:49.674Z,3624,61353147,included,1
2020-03-19T09:14:07.581Z,3624,61353148,included,0
2020-03-19T09:14:10.988Z,3624,61353149,included,1
2020-03-19T09:14:20.254Z,3624,61353150,included,1
2020-03-19T09:14:39.333Z,3624,61353151,included,1
2020-03-19T09:15:11.429Z,3624,61353152,included,0
2020-03-19T09:15:41.883Z,3624,61353153,included,0
2020-03-19T09:15:45.696Z,3624,61353154,included,1
2020-03-19T09:17:12.232Z,3624,61353155,included,-1
2020-03-19T09:18:25.782Z,3624,61353156,included,-1
2020-03-19T09:19:05.034Z,3624,61353157,included,0
2020-03-19T09:19:18.957Z,3624,61353158,included,1
2020-03-19T09:19:51.427Z,3624,61353159,included,0
2020-03-19T09:19:57.443Z,3624,61353160,included,1
2020-03-19T09:20:06.694Z,3624,61353161,included,1
2020-03-19T09:20:27.882Z,3624,61353162,included,1
2020-03-19T09:20:56.134Z,3624,61353163,included,0
2020-03-19T09:21:36.136Z,3624,61353164,included,0
2020-03-19T09:21:43.277Z,3624,61353165,included,1
2020-03-19T09:22:30.295Z,3624,61353166,included,1
2020-03-19T09:22:39.561Z,3624,61353167,included,1
2020-03-19T09:22:48.374Z,3624,61353168,included,1
2020-03-19T09:23:28.064Z,3624,61353169,included,0
2020-03-19T09:23:41.330Z,3624,61353170,included,1
2020-03-19T09:23:53.784Z,3624,61353171,included,1
2020-03-19T09:25:13.272Z,3624,61353172,included,0
2020-03-19T09:27:12.231Z,3624,61353173,included,1
2020-03-19T09:27:25.935Z,3624,61353174,included,1
2020-03-19T09:28:05.156Z,3624,61353175,included,0
2020-03-19T09:29:30.207Z,3624,61353175,included,1
2020-03-19T09:29:58.365Z,3624,61353176,included,1
2020-03-19T09:32:41.202Z,3624,61353177,included,1
2020-03-19T09:32:48.905Z,3624,61353178,included,-1
2020-03-19T09:33:47.143Z,3624,61353179,included,1
2020-03-19T09:33:51.721Z,3624,61353180,included,1
2020-03-19T09:35:27.945Z,3624,61353181,included,-1
2020-03-19T09:35:38.367Z,3624,61353182,included,1
2020-03-19T09:35:48.743Z,3624,61353183,included,-1
2020-03-19T09:36:21.260Z,3624,61355020,included,-1
2020-03-19T09:36:31.854Z,3624,61356015,included,-1
2020-03-19T09:36:35.261Z,3624,61356350,included,-1
2020-03-19T09:36:37.698Z,3624,61356578,included,-1
2020-03-19T09:36:41.042Z,3624,61358254,included,-1
2020-03-19T09:36:41.074Z,3624,61358296,included,-1
2020-03-19T09:36:44.918Z,3624,61358367,included,-1
2020-03-19T09:36:48.324Z,3624,61358739,included,-1
2020-03-19T09:36:50.808Z,3624,61358972,included,-1
2020-03-19T09:36:52.293Z,3624,61359569,included,-1
2020-03-19T09:37:26.904Z,3624,61354740,included,1
2020-03-19T09:38:54.752Z,3624,61359336,included,1
2020-03-19T09:40:34.586Z,3624,61353240,included,1
2020-03-19T09:42:21.873Z,3624,61353207,included,-1
2020-03-19T09:43:02.313Z,3624,61353276,included,1
2020-03-19T09:44:44.678Z,3624,61353277,included,1
2020-03-19T09:45:40.384Z,3624,61353295,included,1
2020-03-19T09:46:02.104Z,3624,61353353,included,1
2020-03-19T09:46:20.855Z,3624,61353372,included,1
2020-03-19T10:36:04.983Z,3624,61353392,included,1
2020-03-19T10:36:42.641Z,3624,61353391,included,1
2020-03-19T10:37:22.909Z,3624,61353385,included,1
2020-03-19T10:37:34.113Z,3624,61353589,included,-1
2020-03-19T10:38:47.508Z,3624,61353615,included,-1
2020-03-19T10:39:06.118Z,3624,61353615,included,1
2020-03-19T10:39:16.197Z,3624,61353649,included,1
2020-03-19T10:41:10.906Z,3624,61353691,included,1
2020-03-19T10:41:36.845Z,3624,61353726,included,-1
2020-03-19T10:42:52.146Z,3624,61353120,included,1
2020-03-19T10:43:08.256Z,3624,61353122,included,1
2020-03-19T10:43:23.694Z,3624,61353123,included,1
2020-03-19T10:47:44.661Z,3624,61353126,included,-1
2020-03-19T10:48:07.881Z,3624,61353135,included,1
2020-03-19T10:48:53.930Z,3624,61353139,included,1
2020-03-19T11:02:57.491Z,3624,61353146,included,-1
2020-03-19T11:03:38.649Z,3624,61353148,included,1
2020-03-19T11:09:45.341Z,3624,61353152,included,1
2020-03-19T11:11:50.004Z,3624,61353153,included,1
2020-03-19T11:13:04.524Z,3624,61353157,included,1
2020-03-19T11:14:21.606Z,3624,61353159,included,1
2020-03-19T11:15:32.094Z,3624,61353163,included,1
2020-03-19T11:16:30.550Z,3624,61353164,included,1
2020-03-19T11:24:28.700Z,3624,61353169,included,1
2020-03-19T11:25:13.187Z,3624,61353172,included,1
2020-03-19T11:26:10.175Z,3624,61353366,included,1
2020-03-19T11:26:39.411Z,3624,61353645,included,1
2020-03-19T11:26:49.115Z,3624,61353674,included,1
2020-03-19T11:27:02.256Z,3624,61354103,included,1
2020-03-19T11:27:24.460Z,3624,61354958,included,1
2020-03-19T11:32:06.242Z,3624,61359367,included,1
2020-03-19T11:32:48.650Z,3624,61356327,included,1
2020-03-19T11:33:06.979Z,3624,61359626,included,-1
2020-03-19T11:33:30.902Z,3624,61355724,included,1
2020-03-19T11:33:35.356Z,3624,61355118,included,1
2020-03-19T11:33:59.263Z,3624,61359390,included,1
2020-03-19T11:34:08.186Z,3624,61358963,included,1
2020-03-19T11:34:35.952Z,3624,61358041,included,1
2020-03-19T11:34:50.766Z,3624,61353803,included,1
2020-03-19T11:36:13.114Z,3624,61359263,included,1
2020-03-19T11:36:34.443Z,3624,61358830,included,-1
2020-03-19T11:36:54.241Z,3624,61355153,included,1
2020-03-19T11:37:04.038Z,3624,61355318,included,1
2020-03-19T11:41:51.131Z,3624,61358048,included,1
2020-03-19T11:41:57.632Z,3624,61353388,included,1
2020-03-19T11:42:08.882Z,3624,61354509,included,1
2020-03-19T11:42:38.212Z,3624,61353839,included,1
2020-03-19T11:42:46.088Z,3624,61355278,included,1
2020-03-19T11:43:36.794Z,3624,61354198,included,1
2020-03-19T11:44:37.906Z,3624,61353829,included,1
2020-03-19T11:44:44.110Z,3624,61356493,included,1
2020-03-19T11:46:00.896Z,3624,61359026,included,1
2020-03-19T11:47:02.993Z,3624,61357105,included,1
2020-03-19T11:47:28.994Z,3624,61354516,included,1
2020-03-19T11:47:35.760Z,3624,61356258,included,1
2020-03-19T11:48:06.059Z,3624,61358196,included,1
2020-03-19T11:48:36.498Z,3624,61357388,included,-1
2020-03-19T11:48:43.452Z,3624,61357388,included,1
2020-03-19T11:49:20.078Z,3624,61357388,included,-1
2020-03-19T11:49:40.001Z,3624,61356984,included,1
2020-03-19T11:49:47.377Z,3624,61359133,included,1
2020-03-19T11:50:16.284Z,3624,61359133,included,1
2020-03-19T11:50:44.770Z,3624,61356819,included,1
2020-03-19T11:50:53.724Z,3624,61354283,included,1
2020-03-19T11:50:58.505Z,3624,61353961,included,1
2020-03-19T11:51:02.084Z,3624,61353463,included,1
2020-03-19T11:51:16.319Z,3624,61353862,included,1
2020-03-19T11:51:47.320Z,3624,61353862,included,-1
2020-03-19T11:52:02.774Z,3624,61356492,included,1
2020-03-19T11:52:13.806Z,3624,61357257,included,1
2020-03-19T11:52:29.416Z,3624,61357425,included,1
2020-03-19T11:52:30.948Z,3624,61358415,included,1
2020-03-19T11:52:38.229Z,3624,61354109,included,1
2020-03-19T11:52:47.964Z,3624,61356925,included,1
2020-03-19T11:52:58.965Z,3624,61356659,included,-1
